,Book-Author,Description
0,Bernice Kanner,
1,CLAIRE BERLINSKI,
2,Brendan Halpin,
3,Dorothy J. Gaiter,"Dorothy J. Gaiter and John Brecher are American journalists, authors, and wine critics, wife and husband who jointly wrote the wine column ""Tastings"" in The Wall Street Journal between 1998 and 2009. They rated wines on a scale that ranged from ""Yech"", ""OK"", ""Good"", ""Very Good"", ""Delicious"" to ""Delicious!"". Their careers began simultaneously and have remained connected since their first meeting in the newsroom of The Miami Herald in 1973."
4,Robert Harris,Robert or Rob Harris may refer to:
5,Allan M. Siegal,"Allan Marshall Siegal was an American newspaper editor and journalist who worked at The New York Times for 45 years. In 1987, he was named an assistant managing editor, and in 2003, he became the Times' first standards editor, charged with maintaining high standards of accuracy, fairness and ethical conduct."
6,American Heart Association,"The American Heart Association (AHA) is a nonprofit organization in the United States that funds cardiovascular medical research, educates consumers on healthy living and fosters appropriate cardiac care in an effort to reduce disability and deaths caused by cardiovascular disease and stroke. Originally formed in New York City in 1915, it is currently headquartered in Dallas, Texas. The American Heart Association is a national voluntary health agency."
7,Annette Kar Baxter,"Annette Kar Baxter was an American women's history expert, professor, and author. She spent much of her career at Barnard College, where she taught one of the earliest women's history classes to undergraduate students, in 1966."
8,Stanley Newman,"Stanley Newman can refer to:Stanley Newman (cricketer) (1907-1956), New Zealand cricketer
Stanley Newman, American puzzle creator
Stanley Newman (1900-1947), English snooker player
"
9,Brian Lamb,"Brian Patrick Lamb is an American journalist. He is the founder, executive chairman, and the now-retired CEO of C-SPAN, an American cable network that provides coverage of the U.S. House of Representatives and U.S. Senate as well as other public affairs events. In 2007, Lamb was awarded Presidential Medal of Freedom by President George W. Bush and received the National Humanities Medal the following year."
10,Andrea Kannapell,
11,"Ii, Pope John Paul",
12,Eva Figes,"Eva Figes was an English author and feminist. Figes wrote novels, literary criticism, studies of feminism, and vivid memoirs relating to her Berlin childhood and later experiences as a Jewish refugee from Hitler's Germany."
13,"Daniel W., MD Nixon",
14,Lynn Sherr,"Lynn Sherr is an American broadcast journalist and author, best known as a correspondent for the ABC news magazine 20/20."
15,Judith Reichman,
16,Brian Kelly,Brian Kelly or Brian Kelley may refer to:
17,Bill Emmott,"William John Emmott is an English journalist, author, and consultant best known as the editor-in-chief of The Economist newspaper from 1993 to 2006. Emmott has written fourteen books and worked on two documentary feature films. He co-founded the Wake Up Foundation, an educational charity dedicated to raising awareness of the dangers facing Western societies. He is now chairman of the Trinity College Long Room Hub for Arts & Humanities in Dublin, of the International Institute for Strategic Studies and of the Japan Society of the UK in London."
18,Robert Wright,"Robert, Bob, Rob or Bobby Wright may refer to:"
19,John James Audubon,"John James Audubon was a French-American self-trained artist, naturalist, and ornithologist. His combined interests in art and ornithology turned into a plan to make a complete pictorial record of all the bird species of North America. He was notable for his extensive studies documenting all types of American birds and for his detailed illustrations, which depicted the birds in their natural habitats. His major work, a color-plate book titled The Birds of America (1827–1839), is considered one of the finest ornithological works ever completed. Audubon is also known for identifying 25 new species. He is the eponym of the National Audubon Society, and his name adorns a large number of towns, neighborhoods, and streets across the United States. Dozens of scientific names first published by Audubon are still in use by the scientific community."
20,Marvin J. Gersh,
21,Harry Lorayne,"Harry Lorayne was an American mnemonist, magician, and author who was called ""The Yoda of Memory Training"" and ""The World's Foremost Memory-Training Specialist"" by Time magazine. He was well known for his incredible memory demonstrations and appeared on numerous television shows including 24 times on The Tonight Show Starring Johnny Carson. His book The Memory Book was a New York Times bestseller. His card magic, especially his innovations in card sleights, is widely emulated by amateur and professional magicians."
22,Phyllis Greene,
23,DAVID KUSHNER,
24,Amy Einhorn,
