,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description
0,0812929950,10.0,100 Best TV Commercials: And Why They Worked,Bernice Kanner,1999,Crown Publishers,http://images.amazon.com/images/P/0812929950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812929950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812929950.01.LZZZZZZZ.jpg,"Who cares about commercials? All of us, that's who. The television commercial has become a part of the American narrative, as important a signifier of our times as a great work of literature or a blockbuster motion picture. Indeed, we often care more about the commercials than we do about the programming itself (ask any Super Bowl aficionado). The ad is art . . . and some of the art is brilliant. The hundred commercials in this book are brilliant. They were selected by a team of experts at the Leo Burnett Company, creators of Tony the Tiger and the Maytag Repairman, in collaboration with dozens of advertising pros from around the globe and throughout the industry. Their choices represent the very best that the advertising world has to offer. Together, they portray a half century of human hopes, wishes, and dreams. Bernice Kanner, whose ""On Madison Avenue"" column in New York magazine was required reading for more than a decade, has taken each of these small masterpieces and analyzed what made them work, why they so successfully moved us, and how they broke through the clutter to become a part of the cultural landscape. From the Marlboro Man to the Energizer Bunny, The 100 Best TV Commercials provides a hundred important lessons in how we communicate and persuade today. It is vital reading for those who create our commercial culture . . . and those who live in it."
1,0812967097,10.0,Loose Lips : A Novel,CLAIRE BERLINSKI,2004,Ballantine Books,http://images.amazon.com/images/P/0812967097.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812967097.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812967097.01.LZZZZZZZ.jpg,"Faced with the boring prospects of a lifetime of teaching undergraduates at a midwestern university, Sanskritist Selena Keller answers a recruitment ad from the CIA and embarks on an eighteen-month training program to become an intelligence operative, falling in love with a fellow classmate along the way. A first novel. Reprint."
2,0812966872,10.0,It Takes a Worried Man: A Memoir,Brendan Halpin,2003,Random House Trade,http://images.amazon.com/images/P/0812966872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812966872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812966872.01.LZZZZZZZ.jpg,"When Halpin discovered that his wife had stage-4 breast cancer, he sat down to write about what happens to a man who fears that his best friend might leave him forever. While his wife's cancer plays a major role, Halpin's memoir focuses more on his life, fears, hopes, and joys."
3,0812966864,10.0,Love by the Glass: Tasting Notes from a Marriage,Dorothy J. Gaiter,2003,Random House Trade,http://images.amazon.com/images/P/0812966864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812966864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812966864.01.LZZZZZZZ.jpg,"Love by the Glass is a captivating memoir by the authors of The Wall Street Journal’s weekly “Tastings” column, Dorothy J. Gaiter and John Brecher, who have merged their journalism careers with their love of wine. She grew up in the all-black environment of Florida A&M University in Tallahassee, and he was raised in Jacksonville, where his was one of a handful of Jewish families. Follow Dottie and John from their June 4, 1973, meeting in the newsroom of The Miami Herald to their first “Open That Bottle Night,” which put them on the road to becoming full-time wine columnists. From the André Cold Duck that accompanied their first date to the bottle of Taittinger Champagne smuggled into the delivery room to wet the lips of their newborn second daughter, lovers of books as well as lovers of wine can now join the wine world’s favorite couple as they embark on the ultimate quest for the perfect grape."
4,0812966538,10.0,A Higher Form of Killing: The Secret History of Chemical and Biological Warfare,Robert Harris,2002,Random House Trade,http://images.amazon.com/images/P/0812966538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812966538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812966538.01.LZZZZZZZ.jpg,"A Higher Form of Killing opens with the first devastating battlefield use of lethal gas in World War I, and then investigates the stockpiling of biological weapons during World War II and in the decades afterward as well as the inhuman experiments con-ducted to test their effectiveness. This updated edition includes a new Introduction and a new final chapter exposing frightening developments in recent years, including the black market that emerged in chemical and biological weapons following the breakup of the Soviet Union, the acquisition of these weapons by various Third World states, the attempts of countries such as Iraq to build up arsenals, and--particularly and most recently--the use of these weapons in terrorist attacks."
5,081296389X,10.0,The New York Times Manual of Style and Usage : The Official Style Guide Used by the Writers and Editors of the World's Mostauthoritative Newspaper,Allan M. Siegal,2002,Three Rivers Press,http://images.amazon.com/images/P/081296389X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081296389X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081296389X.01.LZZZZZZZ.jpg,"Now everyone can find style answers in the handy alphabetical guide used by the thousand journalists of the world's most authoritative newspaper. For writers, editors, students, researchers and all who love language, this guide is both an entertaining tool and an essential reference."
6,0812963857,10.0,365 Ways to Get Out the Fat: A Tip a Day to Trim the Fat Away,American Heart Association,1998,Clarkson N Potter Publishers,http://images.amazon.com/images/P/0812963857.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812963857.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812963857.01.LZZZZZZZ.jpg,"The latest addition to the bestselling AHA library, this book is chock-full of tips on cooking, shopping, snacking, and preparing and customizing favorite foods, this fact-filled guide makes it easy to keep fat (especially saturated fat) and cholesterol under control--a boon for healthier hearts and trimmer waistlines. 25 line drawings."
7,0812963067,10.0,"To be a woman in America, 1850-1930",Annette Kar Baxter,1978,Times Books,http://images.amazon.com/images/P/0812963067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812963067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812963067.01.LZZZZZZZ.jpg,
8,0812934539,10.0,Stanley Newman's Coffee Time Word Games,Stanley Newman,2002,Random House Puzzles &amp; Games,http://images.amazon.com/images/P/0812934539.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812934539.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812934539.01.LZZZZZZZ.jpg,"From the versatile Stanley Newman, this book of 50 brand-new word games is the perfect choice for anyone who doesn't want another crossword book. Wordplay enthusiasts--those who don't care for crosswords and those who are just ""crossworded"" out--will delight in what they find inside. The 50 puzzles and games--five each of ten different varieties--are easy enough for the casual solver, but challenging enough to give the gray cells a bit of a workout. This compact volume is ideal for the vacationer's beach bag, the commuter's briefcase, the frequent flyer's carry-on and everyone's den."
9,0812933397,10.0,Booknotes Life Stories: Notable Biographers on the People Who Shaped America,Brian Lamb,2000,Three Rivers Press (CA),http://images.amazon.com/images/P/0812933397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812933397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812933397.01.LZZZZZZZ.jpg,Collection of essays by various biographers based on interviews originally held on the television program Booknotes.
10,0812930029,10.0,The Curious New Yorker: 329 Fascinating Questions and Surprising Answers About New York City,Andrea Kannapell,1999,Three Rivers Press (CA),http://images.amazon.com/images/P/0812930029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812930029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812930029.01.LZZZZZZZ.jpg,"A New Yorker who is not curious? Rare, indeed. New Yorkers are among the most curious people on the planet. Just ask the staff of the popular ""F.Y.I."" column in The New York Times. They receive more than a thousand questions each year, asking everything from how Manhattan clam chowder was named to why there are so few rainbows in New York City. Here are 329 of the most intriguing questions and amusing answers about the Big Apple's history, landscape, subways, architecture, laws, and personalities. Each chapter of The Curious New Yorker offers solutions to some of the city's most confounding enigmas: ""Myths and Mysteries"" answers this puzzler: On The Freewheelin' Bob Dylan, who is the woman walking arm in arm with the singer, and what Greenwich Village street are they ambling down (page 45)? ""What's in a Name?"" explains why Sixth Avenue was renamed Avenue of the Americas (p. 8), and why so many streets in Brooklyn are named after fruits (p. 40). ""Tell It to the Judge"" enlightens readers about the small print in New York's laws. Readers will learn if sitting on an apartment building stoop is trespassing (p. 241). ""New York Gazetteer"" includes the elusive formula for determining what the nearest cross street is to a numbered address on an avenue. This is a useful book, packed with hard-to-find facts and lighthearted humor. ""F.Y.I."" appears every Sunday in the City section of The New York Times."
11,0812926714,10.0,The Gospel of Life (Evangelium Vitae),"Ii, Pope John Paul",1995,Random House Inc,http://images.amazon.com/images/P/0812926714.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812926714.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812926714.01.LZZZZZZZ.jpg,"The encyclical letter, March 25, 1995, on abortion, euthanasia, and the death penalty in today's world."
12,0812813324,10.0,Patriarchal attitudes (Women in revolt),Eva Figes,1970,Stein and Day,http://images.amazon.com/images/P/0812813324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812813324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812813324.01.LZZZZZZZ.jpg,
13,0812925904,10.0,The Cancer Recovery Eating Plan: The Right Foods to Help Fuel Your Recovery,"Daniel W., MD Nixon",1996,Three Rivers Press (CA),http://images.amazon.com/images/P/0812925904.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812925904.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812925904.01.LZZZZZZZ.jpg,"Dr. Nixon, editor-in-chief of the journal Cancer Prevention, cuts through the hype to explain the latest scientific findings on food and cancer. He presents individualized eating plans according to the type of cancer and offers a three-month plan to benefit the person with cancer. Over 100 recipes help put the plan into action."
14,0812924304,10.0,Failure Is Impossible: Susan B. Anthony in Her Own Words,Lynn Sherr,1995,Random House Inc,http://images.amazon.com/images/P/0812924304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812924304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812924304.01.LZZZZZZZ.jpg,Contains primary source material.
15,0812924177,10.0,I'm Too Young to Get Old: Health Care for Women After Forty,Judith Reichman,1996,Times Books,http://images.amazon.com/images/P/0812924177.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812924177.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812924177.01.LZZZZZZZ.jpg,"If you're a woman over forty, you probably have questions and concerns about your health. Unlike your mother or grandmother, you do not want to go passively (or silently) through the next half of your life. ""No one seems to care about out forty-something contraceptive needs. Pregnancy is the last thing I want at this point. What are my options?"" ""If I take the Pill and I'm over forty, am I at increased risk for cancer?"" Or: ""I know I've put it off, but I'm ready now, and I want to be pregnant--yesterday!"" What are my chances--and the risks involved?"" ""I'm going through menopause, and I'm not sure I like the idea of taking hormone replacement therapy for the rest of my life. How do I know if it's right for me? What other choices do I have?"" ""I'm too busy to consult a score of specialists to keep on the 'proper' health track. Is there a single checklist I can follow so I know what tests to take and when?"" In I'm Too Young to Get Old, renowned gynecologist Judith Reichman, M.D., creator of two acclaimed PBS series on menopause and health, gives women over forty the information they need to make their health care choices. Yes, we need to know what happens to our hormones, but that doesn't mean we should be defined in terms of our reproductive system. As Dr. Reichman writes: ""My patients have matured with me, and most of us are now over forty. Many have struggled with their health as they aged, while other seemed to mature with vibrancy, pleasure, and an increasing appreciation of their lives. What explains these differences? We traverse a complicated passage: our hormones fluctuate, and so do our moods, body temperatures, and sleep patterns. We have tomake choices about birth control, then hormone control. We should be concerned about cancer prevention and detection, heart disease, osteoporosis, joint problems, and thyroid problems. We want to control our weight and our wrinkles. And in the midst of all this, we are taking care of aging parents, aging children, or dealing with our mates' midlife problems (both physical and psychological) or possibly going through divorce, getting back in the job market, or leaving it, and wondering how we reached forty so fast."" Dr. Reichman addresses all these concerns and more with clarity and wit. She tackles subjects often given short shrift: avoiding hysterectomy, coping with urinary incontinence, exploring sexuality from forty to ninety (see the chapter on ""Sex, Hormones, and Rock 'n' Roll""), preparing for a health second half of life despite our abuses of the first half, and more. Written in a warm, accessible style and laced with the humorous perspective of someone who's gone through this stage of life herself, I'm Too Young to Get Old has all the authoritative, up-to-date information you need to take control of your future health."
16,0812923138,10.0,Adventures in Porkland: How Washington Wastes Your Money and Why They Won't Stop,Brian Kelly,1994,Random House Inc,http://images.amazon.com/images/P/0812923138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812923138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812923138.01.LZZZZZZZ.jpg,"Describes examples of government waste, looks at how pet projects are added to appropriation bills, and suggests ways to reduce the deficit"
17,0812918169,10.0,The Sun Also Sets: The Limits to Japan's Economic Power,Bill Emmott,1989,Random House Inc,http://images.amazon.com/images/P/0812918169.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812918169.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812918169.01.LZZZZZZZ.jpg,"A noted expert in the field of economics analyzes Japan's rise to economic power and its perceived threat to American interests, arguing that Japan's current economic status will not continue into the twenty-first century"
18,0812913280,10.0,Three Scientists and Their Gods,Robert Wright,1988,Random House Inc,http://images.amazon.com/images/P/0812913280.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812913280.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812913280.01.LZZZZZZZ.jpg,"Examines the concepts of information, meaning, and purpose, describes the function of information at various levels of organization, and discusses the theories of Edward Fredkin, Edward O. Wilson, and Kenneth Blouding"
19,0812908414,10.0,The art of Audubon: The complete birds and mammals,John James Audubon,1979,Times Books,http://images.amazon.com/images/P/0812908414.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812908414.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812908414.01.LZZZZZZZ.jpg,
20,0812862317,10.0,How to Raise Children at Home in Your Spare Time,Marvin J. Gersh,1985,Natl Book Network,http://images.amazon.com/images/P/0812862317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812862317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812862317.01.LZZZZZZZ.jpg,Dr. Gersh offers realistic advice on meeting the problems of caring for and communicating with children
21,0812816641,10.0,The Memory Book,Harry Lorayne,1974,Natl Book Network,http://images.amazon.com/images/P/0812816641.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812816641.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812816641.01.LZZZZZZZ.jpg,"Unleash the hidden power of your mind through Harry Lorayne and Jerry Lucas's simple, fail-safe memory system, and you can become more effective, more imaginative, and more powerful, at work, at school, in sports and play. Discover how easy it is to: file phone numbers, data, figures, and appointments right in your head; learn foreign words and phrases with ease; read with speed--and greater understanding; shine in the classroom--and shorten study hours; dominate social situations, and more."
22,0812967844,10.0,It Must Have Been Moonglow: Reflections on the First Years of Widowhood,Phyllis Greene,2003,Villard Books,http://images.amazon.com/images/P/0812967844.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812967844.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812967844.01.LZZZZZZZ.jpg,"In December 1998, after fifty-six years of marriage, Phyllis Greene went from being part of the lifelong unit of PhyllisandBob to being just plain Phyllis. As a way of coping with her feelings, she began keeping a journal. She realized her own reflections could speak to the thousands of women like her, each one with very different yet in some ways very similar day-to-day experiences. It Must Have Been Moonglow chronicles the emotional roller-coaster of her experience in a collection of brief essays—like diary entries—that capture the sadness, the humor, and the triumphs all widows encounter. She writes with wit and insight about negotiating the logistics of an evening out with a group of single older women, none of whom drive very well; about handling the check when going to dinner with a couple; about grocery shopping for one; and about the miracle of friendships on the Internet and the blessings of family. With a new final section featuring readers’ letters describing their own experiences of widowhood, It Must Have Been Moonglow is an intimate, candid, and engaging book—not about grief but about inspiration and strength."
23,0812972155,10.0,Masters of Doom : How Two Guys Created an Empire and Transformed Pop Culture,DAVID KUSHNER,2004,Random House Trade Paperbacks,http://images.amazon.com/images/P/0812972155.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812972155.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812972155.01.LZZZZZZZ.jpg,"Masters of Doom is the amazing true story of the Lennon and McCartney of video games: John Carmack and John Romero. Together, they ruled big business. They transformed popular culture. And they provoked a national controversy. More than anything, they lived a unique and rollicking American Dream, escaping the broken homes of their youth to co-create the most notoriously successful game franchises in history—Doom and Quake—until the games they made tore them apart. Americans spend more money on video games than on movie tickets. Masters of Doom is the first book to chronicle this industry’s greatest story, written by one of the medium’s leading observers. David Kushner takes readers inside the rags-to-riches adventure of two rebellious entrepreneurs who came of age to shape a generation. The vivid portrait reveals why their games are so violent and why their immersion in their brilliantly designed fantasy worlds offered them solace. And it shows how they channeled their fury and imagination into products that are a formative influence on our culture, from MTV to the Internet to Columbine. This is a story of friendship and betrayal, commerce and artistry—a powerful and compassionate account of what it’s like to be young, driven, and wildly creative. “To my taste, the greatest American myth of cosmogenesis features the maladjusted, antisocial, genius teenage boy who, in the insular laboratory of his own bedroom, invents the universe from scratch. Masters of Doom is a particularly inspired rendition. Dave Kushner chronicles the saga of video game virtuosi Carmack and Romero with terrific brio. This is a page-turning, mythopoeic cyber-soap opera about two glamorous geek geniuses—and it should be read while scarfing down pepperoni pizza and swilling Diet Coke, with Queens of the Stone Age cranked up all the way.”—Mark Leyner, author of I Smell Esther Williams"
